CustomerID,LeadDate,LeadSource,Status,PurchaseAmount,SatisfactionScore,Message,Sentiment,Product,is_conversion,is_churn
CUST0001,23/01/01 0:00,اینستاگرام,فعال,0,3,"به نظر می‌رسه تیم فروش خیلی حرفه‌ای عمل می‌کنه، اما زمان تحویل ماژول‌های سفارشی طولانی‌تر از انتظار بود.",مثبت,ماژول مدیریت تیکت پشتیبانی,0,0
CUST0002,23/01/01 1:00,تبلیغ گوگل,لغو,0,3,"تمدید اشتراک هزینه زیادی برامون داشت، ولی چون تیم به نرم‌افزار وابسته شده مجبور شدیم تمدید کنیم.",مثبت,اشتراک CRM شش‌ماهه,0,1
CUST0003,23/01/01 2:00,نمایشگاه,خرید,0,5,"کیفیت پاسخ‌ها نسبت به دفعات اول بهتر شده، اما هنوز بعضی تیکت‌ها نیمه‌کاره بسته می‌شن.",مثبت,اشتراک CRM یک‌ساله,1,0
CUST0004,23/01/01 3:00,ارجاع مشتری,خرید,2000000,4,"پشتیبانی خیلی مودب و پیگیر بود، هرچند برای رفع مشکل اصلی باید چند روز صبر می‌کردیم و همین برامون دردسر شد.",منفی,پکیج کامل CRM (فروش+بازاریابی+پشتیبانی),1,0
CUST0005,23/01/01 4:00,وب‌سایت,خرید,2000000,3,"قیمت اشتراک نسبت به رقبا بالاتره، با این حال ماژول گزارش‌گیری باعث شد تحلیل‌هامون خیلی بهتر بشه.",مثبت,ماژول گزارش‌گیری پیشرفته,1,0
CUST0006,23/01/01 5:00,ارجاع مشتری,خرید,0,2,"پشتیبانی خیلی مودب و پیگیر بود، هرچند برای رفع مشکل اصلی باید چند روز صبر می‌کردیم و همین برامون دردسر شد.",منفی,پکیج کامل CRM (فروش+بازاریابی+پشتیبانی),1,0
CUST0007,23/01/01 6:00,تبلیغ گوگل,خرید,2000000,3,"احساس کلی مثبته، اما نگرانی داریم که در بلندمدت پشتیبانی نتونه همین کیفیت رو حفظ کنه.",خنثی,اشتراک CRM یک‌ماهه,1,0
CUST0008,23/01/01 7:00,تبلیغ گوگل,لغو,0,5,"به نظر می‌رسه تیم فروش خیلی حرفه‌ای عمل می‌کنه، اما زمان تحویل ماژول‌های سفارشی طولانی‌تر از انتظار بود.",منفی,اشتراک CRM شش‌ماهه,0,1
CUST0009,23/01/01 8:00,ارجاع مشتری,فعال,0,4,"پشتیبانی خیلی مودب و پیگیر بود، هرچند برای رفع مشکل اصلی باید چند روز صبر می‌کردیم و همین برامون دردسر شد.",منفی,ماژول مدیریت تیکت پشتیبانی,0,0
CUST0010,23/01/01 9:00,تبلیغ گوگل,خرید,3500000,4,"پشتیبانی خیلی مودب و پیگیر بود، هرچند برای رفع مشکل اصلی باید چند روز صبر می‌کردیم و همین برامون دردسر شد.",خنثی,ماژول مدیریت تیکت پشتیبانی,1,0
CUST0011,23/01/01 10:00,اینستاگرام,فعال,0,4,"پشتیبانی خیلی مودب و پیگیر بود، هرچند برای رفع مشکل اصلی باید چند روز صبر می‌کردیم و همین برامون دردسر شد.",مثبت,ماژول گزارش‌گیری پیشرفته,0,0
CUST0012,23/01/01 11:00,اینستاگرام,فعال,0,3,"محیط کاربری زیبا و ساده طراحی شده، اما بعضی تنظیمات پیچیده‌ست و وقت زیادی گرفت تا یاد بگیریم.",منفی,ماژول گزارش‌گیری پیشرفته,0,0
CUST0013,23/01/01 12:00,تبلیغ گوگل,لغو,0,5,"از یک طرف امکانات نرم‌افزار واقعاً جامع و کاربردیه، اما کندی سرعت و قطعی‌های مکرر باعث شده تیمم دل‌سرد بشه.",مثبت,پکیج کامل CRM (فروش+بازاریابی+پشتیبانی),0,1
CUST0014,23/01/01 13:00,تبلیغ گوگل,خرید,5000000,4,"پشتیبانی خیلی مودب و پیگیر بود، هرچند برای رفع مشکل اصلی باید چند روز صبر می‌کردیم و همین برامون دردسر شد.",مثبت,ماژول مدیریت تیکت پشتیبانی,1,0
CUST0015,23/01/01 14:00,اینستاگرام,فعال,0,2,"قیمت اشتراک نسبت به رقبا بالاتره، با این حال ماژول گزارش‌گیری باعث شد تحلیل‌هامون خیلی بهتر بشه.",مثبت,ماژول مدیریت تیکت پشتیبانی,0,0
CUST0016,23/01/01 15:00,تبلیغ گوگل,خرید,10000000,2,"به نظر می‌رسه تیم فروش خیلی حرفه‌ای عمل می‌کنه، اما زمان تحویل ماژول‌های سفارشی طولانی‌تر از انتظار بود.",منفی,ماژول مدیریت تیکت پشتیبانی,1,0
CUST0017,23/01/01 16:00,تبلیغ گوگل,خرید,2000000,4,"احساس کلی مثبته، اما نگرانی داریم که در بلندمدت پشتیبانی نتونه همین کیفیت رو حفظ کنه.",خنثی,اشتراک CRM شش‌ماهه,1,0
CUST0018,23/01/01 17:00,ارجاع مشتری,لغو,0,5,"از یک طرف امکانات نرم‌افزار واقعاً جامع و کاربردیه، اما کندی سرعت و قطعی‌های مکرر باعث شده تیمم دل‌سرد بشه.",مثبت,ماژول مدیریت تیکت پشتیبانی,0,1
CUST0019,23/01/01 18:00,وب‌سایت,فعال,0,3,"ماژول اتوماسیون بازاریابی عالیه و صرفه‌جویی زیادی ایجاد کرد، با این حال هنوز چند باگ جدی وجود داره.",مثبت,اشتراک CRM یک‌ماهه,0,0
CUST0020,23/01/01 19:00,اینستاگرام,فعال,0,5,"قیمت اشتراک نسبت به رقبا بالاتره، با این حال ماژول گزارش‌گیری باعث شد تحلیل‌هامون خیلی بهتر بشه.",مثبت,ماژول مدیریت تیکت پشتیبانی,0,0
CUST0021,23/01/01 20:00,ارجاع مشتری,خرید,0,4,"قیمت اشتراک نسبت به رقبا بالاتره، با این حال ماژول گزارش‌گیری باعث شد تحلیل‌هامون خیلی بهتر بشه.",منفی,اشتراک CRM یک‌ماهه,1,0
CUST0022,23/01/01 21:00,وب‌سایت,خرید,3500000,2,"محیط کاربری زیبا و ساده طراحی شده، اما بعضی تنظیمات پیچیده‌ست و وقت زیادی گرفت تا یاد بگیریم.",مثبت,اشتراک CRM شش‌ماهه,1,0
CUST0023,23/01/01 22:00,تبلیغ گوگل,خرید,2000000,1,"محیط کاربری زیبا و ساده طراحی شده، اما بعضی تنظیمات پیچیده‌ست و وقت زیادی گرفت تا یاد بگیریم.",منفی,ماژول گزارش‌گیری پیشرفته,1,0
CUST0024,23/01/01 23:00,تبلیغ گوگل,لغو,0,2,"به نظر می‌رسه تیم فروش خیلی حرفه‌ای عمل می‌کنه، اما زمان تحویل ماژول‌های سفارشی طولانی‌تر از انتظار بود.",مثبت,اشتراک CRM یک‌ماهه,0,1
CUST0025,23/01/02 0:00,ارجاع مشتری,فعال,0,4,"قیمت اشتراک نسبت به رقبا بالاتره، با این حال ماژول گزارش‌گیری باعث شد تحلیل‌هامون خیلی بهتر بشه.",منفی,اشتراک CRM شش‌ماهه,0,0
CUST0026,23/01/02 1:00,تبلیغ گوگل,فعال,0,2,"تمدید اشتراک هزینه زیادی برامون داشت، ولی چون تیم به نرم‌افزار وابسته شده مجبور شدیم تمدید کنیم.",منفی,ماژول مدیریت تیکت پشتیبانی,0,0
CUST0027,23/01/02 2:00,نمایشگاه,خرید,2000000,3,"تمدید اشتراک هزینه زیادی برامون داشت، ولی چون تیم به نرم‌افزار وابسته شده مجبور شدیم تمدید کنیم.",مثبت,اشتراک CRM شش‌ماهه,1,0
CUST0028,23/01/02 3:00,ارجاع مشتری,فعال,0,4,"به نظر می‌رسه تیم فروش خیلی حرفه‌ای عمل می‌کنه، اما زمان تحویل ماژول‌های سفارشی طولانی‌تر از انتظار بود.",مثبت,ماژول مدیریت تیکت پشتیبانی,0,0
